gene_id	gene_name	H27	H45	H91	H74	H2	H47	H56	H87	FDR	log2FC
ENSG00000182199	SHMT2	7.981795813951735	8.820450031554723	8.784810032812967	8.512725511922287	7.6393887229150295	7.5839779321695415	7.836960545774944	7.497404652913491	0.04929469534444003	-0.8855123841171757
ENSG00000182326	C1S	3.3245030980701524	3.1806527717674458	6.242406046340491	2.8515355317334805	3.9182313892732425	3.50561074537137	3.169879455642437	2.992578158282663	0.7427087097418342	-0.5031994248354645
ENSG00000182544	MFSD5	6.851885244759149	7.746840498773591	8.021120360867315	7.677875910167165	7.215092233374886	7.565265033703259	7.45500715003524	7.9336329636989	0.9506381313182594	-0.032181158438733704
ENSG00000182782	HCAR2	6.16317212656083	7.497404652913491	8.422248619210643	7.8254814183931725	9.090213973548469	8.422248619210643	9.347200302584712	9.028262175630921	0.11621681382286123	1.4949045634741527
ENSG00000182796	TMEM198B	5.519163565030437	5.382960218556528	2.22016121780251	4.4826953273489485	4.285446405345225	4.688159554640131	4.926738355411822	4.91238290329779	0.8496617823107306	0.3019367224891356
ENSG00000182870	GALNT9	0	2.358580209320509	5.291790057073303	3.068390842199274	0	3.5113589854238794	2.8515355317334805	0	0.6832104396045264	-1.0889666478589315
ENSG00000182993	C12orf60	4.603537785270223	3.938625380489618	2.280456850072161	3.3876657934055636	3.372098761633144	3.43166118260313	3.583046095873215	3.1183988081054466	0.8545432831946761	-0.17627024025565774
ENSG00000183150	GPR19	4.826325348031988	4.584610605527189	5.095247998149359	4.945872373133403	4.556256663375652	4.563657784521371	4.347466049602346	4.420769561735485	0.09358469287260705	-0.3909765664017719
ENSG00000183160	TMEM119	2.886850750630794	2.950846208937212	2.515551493226427	2.8210881355118747	3.816089041374343	4.347466049602346	5.302006443821078	3.8621885429628184	0.04929469534444003	1.5383533723635692
ENSG00000183283	DAZAP2	10.743977363361738	11.152177342387331	12.265560885036171	11.188194594043786	11.188194594043786	11.903315928971587	11.842008937191894	12.0225961766132	0.5465285495469007	0.40155136299786065
ENSG00000183495	EP400	6.735358416158364	6.577131147057203	6.598112381001546	6.138814773456189	5.811415814148172	5.93150599756778	6.148543173410743	5.53365073420373	0.0725156958659116	-0.6560752495857196
